nct_id,brief_summary,intervention_type,summary_length_chars,summary_length_words,hedging_count,negation_count,hedging_density,negation_density
NCT02372097,The purpose of this study is to investigate the bioequivalence of 2 tablets of SYR-472 25 milligram (mg) and 1 tablet of SYR-472 50 mg administered to healthy adult males.,DRUG,171,26,0,0,0.0,0.0
NCT05497297,"This is an open-label, single-dose study to evaluate the pharmacokinetics, pharmacodynamics and safety of HSK7653 in subjects with mild, moderate, severe renal impairment and subjects with kidney failure compared to the matched control subjects with normal renal function.",DRUG,272,40,1,1,0.025,0.025
NCT02092597,"The purpose of this study is to assess the effects of incretin-based antidiabetic therapies (DPP-4 inhibitors and GLP-1 agonists) on cardiovascular, gastrointestinal and renal system and to detail the mechanisms underlying their action in these systems.",DRUG,253,37,1,0,0.02702702702702703,0.0
NCT00234910,"The purpose of this study is to obtain a preliminary assessment of the antiviral activity and tolerability of simplified Kaletra dual agent therapy as initial treatment for HIV infection, relative to a Kaletra three drug standard of care reference arm.",DRUG,252,40,0,0,0.0,0.0
NCT00717860,The purpose of this study is to investigate the safety and efficacy of MK0991 in patients with deep-seated mycoses.,DRUG,115,20,0,0,0.0,0.0
NCT02132260,The objective of this study is to compare the efficacy and safety of the test formulation of Naftifine Hydrochloride Cream 2% to Naftin® (Naftifine Hydrochloride) 2% Cream in a 6 week study in patients with tinea pedis.,DRUG,219,34,0,0,0.0,0.0
NCT00443820,"This study is designed to assess the efficacy, safety and tolerability of a topical formulation of terbinafine solution applied daily in patients with toenail fungus. This trial will study patients with mild to moderate toenail fungus disease of the big toenail and their responses to two treatment durations, 24 or 48 weeks.",DRUG,325,50,1,0,0.02,0.0
NCT03598582,"In this trial, the investigators would like to understand why a small percentage of patients will be refractory to ESA (independently of International prognostic scoring system (IPSS) and % of blasts). In a retrospective study of the ""Groupe Francophone des Myélodysplasies (GFM)"" , the investigators showed that about 43% of patients are refractory or will relapse after initial response to ESA and it has been shown that these patients have a poorer survival. The investigators plan to give a 12-week treatment of Epoetin alfa or zeta in low risk MDS patients and measure different biological factors to predict response to ESA:  * evaluation by flow cytometry before and after treatment of the degree of dyserythropoiesis and dysgranulopoiesis which could explain the primary resistance or loss of response of a subset of patients, * screening by molecular biology of predictive factors of response to ESA, * Iron homeostasis will be measured via hepcidin, GDF-15 and ferritin levels.",DRUG,987,151,1,0,0.006622516556291391,0.0
NCT05925920,"Single center, single-dose, randomized, placebo-controlled, dose-escalating study to evaluate, safety, tolerability, pharmacokinetics, and pharmacodynamics of escalating doses of ENT-03S in obese but otherwise healthy subjects and in subjects with obesity and Type 2 diabetes.",DRUG,276,37,1,0,0.02702702702702703,0.0
NCT01788020,"In Waldenström macroglobulinemia (WM) conventional chemotherapy induces only low CR rates and responses of short duration compared to other indolent lymphomas. Thus innovative approaches are needed which combine excellent activity and tolerability in patients with WM, who are mostly of advanced age. The immunochemotherapy DRC (dexamethasone, rituximab, cyclophosphamide) was shown to be highly effective in patients with WM without inducing major hematological toxicities. On the other hand the proteasome inhibitor Bortezomib showed substantial activity as a single agent in WM with only very few side effects when given in a weekly schedule. Based on these observations it is the aim of this study to test whether the efficacy of the well tolerated DRC regime can be further improved by adding Bortezomib.",DRUG,809,122,1,1,0.00819672131147541,0.00819672131147541
NCT02605382,"The purpose of this study is to analyze the efficacy of 0.12% chlorhexidine gluconate as a chemical adjuvant for the treatment of peri-implant mucositis, in a non-surgical treatment protocol with a six-month follow-up.",DRUG,218,36,0,0,0.0,0.0
NCT06869382,"Asthma is a chronic respiratory disease characterized by airway inflammation and obstruction, leading to wheezing, breathlessness, chest tightness, and coughing. Uncontrolled asthma impairs daily activities and reduces quality of life, making it a significant global health concern affecting 334 million people worldwide. Proper management is essential to minimize its impact.  The Global Initiative for Asthma (GINA) recommends inhaled corticosteroids (ICS) combined with long-acting beta-agonists (LABA) as a cornerstone therapy for moderate to severe asthma, reducing inflammation and providing sustained bronchodilation. This combination improves symptom control and prevents exacerbations more effectively than ICS alone.  For severe asthma inadequately controlled with ICS+LABA, biologics such as omalizumab (Xolair®) may be added. Omalizumab, a monoclonal antibody targeting immunoglobulin E (IgE), inhibits allergic inflammation by preventing IgE binding to mast cells and basophils. Clinical studies show it reduces asthma attacks, improves lung function, and decreases corticosteroid dependence.  While ICS+LABA is the primary treatment, omalizumab is often introduced when control remains insufficient. However, transcriptomic differences between these treatments remain unclear. Investigating mRNA expression changes may provide insights for optimizing asthma management.  Research purposes:  This study aims to compare transcriptomic expression profiles in patients with allergic asthma treated with ICS+LABA versus those receiving ICS+LABA with the addition of omalizumab. By analyzing RNA expression differences, the investigators seek to identify key molecular pathways influenced by these treatments, investigate omalizumab's impact on airway inflammation and immune regulation, and explore potential biomarkers for predicting treatment response. Understanding these transcriptomic changes may provide insights into optimizing therapeutic strategies and improving personalized asthma management.  The main inclusion and exclusion conditions of the study:  Participants were adults over 18 years old with a confirmed asthma diagnosis via a provocation test, receiving treatment according to GINA guidelines. The ICS+LABA group included asthma patients classified as stage III, while the ICS+LABA+omalizumab group consisted of patients with poor asthma control despite ICS+LABA therapy and elevated IgE levels. Exclusion criteria included current smokers, individuals with other lung diseases (e.g., lung cancer, COPD, bronchiectasis, ILD), or systemic conditions such as diabetes, hypertension, myocardial infarction, or heart failure. Those who declined participation were also excluded. Healthy controls had no history of asthma, systemic diseases, or medication use.  Research Methods and Procedures:  Pulmonary Function Tests PFTs followed American Thoracic Society guidelines using a Medical Graphics Corporation spirometer. Measured parameters included forced vital capacity (FVC), forced expiratory volume in one second (FEV1), mid-maximum expiratory flow (MMEF), and peak expiratory flow rate (PEFR).  Blood Tests Comprehensive blood tests included RNA transcriptome analysis, allergen panel, IgE levels, complete blood count with differentials, hemoglobin, liver and kidney function tests, C-reactive protein (CRP), electrolytes, and chest X-rays.  Asthma Control Assessment The Chinese-language Asthma Control Test (ACT) was used to evaluate asthma control, with scores ranging from 0 to 25, where higher scores indicate better management.  Library Preparation and Sequencing RNA libraries were prepared using the TruSeq Stranded mRNA Library Prep Kit (Illumina), followed by mRNA extraction, fragmentation, cDNA synthesis, adapter ligation, and purification. Library quality was assessed using the Agilent Bioanalyzer 2100 system and real-time PCR. Sequencing was performed on the Illumina NovaSeq 6000 platform, generating 150 bp paired-end reads.  Bioinformatics Analysis Raw sequence data were processed using Fastp for quality control, aligned to reference genomes using STAR, and quantified with RSEM. Differential gene expression was analyzed with edgeR, while Gene Ontology (GO) and KEGG pathway enrichment were performed using clusterProfiler and ShinyGO. RNA sequencing data are available at the National Center for Biotechnology Information (NCBI).",DRUG,4385,581,6,2,0.010327022375215147,0.0034423407917383822
NCT05868382,"The main purpose of the study is to evaluate the safety, reactogenicity, and the immunogenicity of mRNA-1010 vaccine candidate variations.",BIOLOGICAL,138,20,1,0,0.05,0.0
NCT03227224,"The purpose of this study is to assess the dose-response relationship of 2 doses of JNJ-42847922 before interim analysis, and potentially 3 doses based on interim analysis results, compared to placebo as adjunctive therapy to an antidepressant drug in improving depressive symptoms in participants with Major Depressive Disorder (MDD) who have had an inadequate response to current antidepressant therapy with a selective serotonin reuptake inhibitor (SSRI) or serotonin-norepinephrine reuptake inhibitor (SNRI); and to assess the safety and tolerability of JNJ-42847922 compared to placebo as adjunctive therapy to an antidepressant in participants with MDD.",DRUG,659,93,3,0,0.03225806451612903,0.0
NCT03371680,"Analysis of kinetics of phosphatidylcholine and specific surfactant proteins, total body water and water turnover in patients with acute respiratory distress syndrome (ARDS) and in intensive care unit (ICU) patients by using non radioactive isotopes as deuterium and Carbon-13.",DRUG,277,39,0,0,0.0,0.0
NCT05545280,The investigators propose a randomized trial comparing sugammadex and neostigmine for the reversal of neuromuscular blocks induced by rocuronium or vecuronium in adults having general anesthesia with muscular block for noncardiac surgery.,DRUG,238,32,0,0,0.0,0.0
NCT02544880,"The investigators hypothesize that Tadalafil treatment, by lowering Myeloid Derived Suppressor Cells (MDSCs) and regulatory T cells (Tregs), can prime an antitumor immune response and promote a permissive environment that should increase the efficacy of anti-tumor vaccine in a setting of minimal residual disease.",DRUG,314,45,0,0,0.0,0.0
NCT02290080,"Oxygen treatment is widely used in acutely ill patients, both pre-hospital and in hospital. The indication for oxygen is sometimes unquestionable, such as in many hypoxic patients, but in other situations its use is more of a practise and much less based on scientific evidence. In particular, oxygen treatment is routinely used in patients with a suspected heart attack and variably recommended in guidelines, despite very limited data supporting a beneficial effect. Indeed, a few studies even indicate that oxygen treatment might be harmful.  Immediate re-opening of the acutely blocked artery to the heart muscle is the treatment of choice to limit permanent injury. However, the sudden re-initiation of blood flow achieved with primary percutaneous coronary intervention (PCI), the reopening and stenting of the blocked vessel, can give rise to further endothelial and myocardial damage, so-called reperfusion injury. Ischemia and reperfusion associated myocardial injury (IR-injury) involves a wide range of pathological processes. Vascular leakage, activation of cell death programs, thrombocytes and white blood cells leading to extended inflammation and formation of clots are examples of those effects.  The role of oxygen treatment on these pathological processes, on the extent of IR-injury and the final infarct size in patients with acute myocardial infarctions (AMI) has not previously been studied.  In an ongoing national multicentre, randomized, registry based clinical trial, the DETO2X-AMI trial (NCT01787110), the effect of oxygen on morbidity and mortality in ACS patients is being investigated.  The present DETO2X-biomarkers study is a substudy of the DETO2X-AMI trial, evaluating the effect of oxygen treatment on biological systems involved in the pathogenesis of reversible and irreversible myocardial damage and cell death in ACS.",DRUG,1858,283,1,1,0.0035335689045936395,0.0035335689045936395
NCT00338780,The aim is to investigate whether Lamivudine 100mg daily is effective in the long term treatment of HBeAg negative chronic HBV infected patients with active liver disease in Asia,DRUG,178,29,1,0,0.034482758620689655,0.0
NCT00076180,"This study will examine the use of the humanized Mik-beta-1 (Hu-Mik-beta1) antibody in patients with T-cell large granular lymphocytic leukemia (T-LGL). Patients with T-LGL often have reduced white blood cells, red blood cells, and platelets, and increased numbers of abnormal cells called large granular lymphocytes (LGLs). Patients may have recurrent infections, anemia, or abnormal bleeding. Hu-Mik-beta1 attaches to LGL cells and blocks the action of growth factors called interleukins that stimulate LGL growth. Blocking these interleukins may stop T-LGL leukemia cells from growing. This study will determine the dose and frequency of treatment with Hu-Mik-(SqrRoot) 1 that can safely be given to patients to coat the surface of their leukemic cells with antibody, determine how long the antibody lasts in the blood after injection, and examine the side effects and possible benefits of the drug in these patients.  Patients age 18 or older with T-LGL may be eligible for this study. Candidates will be screened with a medical history and physical examination, review of pathology studies, skin biopsy, evaluation of rheumatoid arthritis if present, chest x-ray, computerized tomography (CT) scans and other imaging studies as needed, bone marrow biopsy, and blood and urine tests.  Participants will receive a single dose of Hu-Mik-beta1 by a 90-minute infusion through a vein. Groups of patients will be treated with increasing doses (0.5, 1.0, and 1.5 mg/kg) of the antibody. Patients who develop serious drug side effects are taken off the study. The treatment requires a 3- to 4-day hospital stay. In addition to Hu-Mik-(SqrRoot) 1 treatment, patients will undergo the following tests and procedures:  * Collection of blood for 8 days following the dose of Hu-Mik-beta1 to measure blood levels of the antibody. * Follow-up visits of 1 to 2 days at 22, 29, and 43 days after the dose of the antibody and then every 3 months for a total of 9 months. * Bone marrow aspirate and biopsy if one has not been done within 6 weeks before entering the study, and a repeat biopsy if complete remission of T-LGL is achieved after completing treatment. For the biopsy, an area of the hip is numbed and a special needle is used to draw bone marrow from the hipbone. * Imaging studies, such as chest x-ray and CT scan of the body after completing treatment if the screening scans showed abnormalities due to the T-LGL leukemia. * Lymph node biopsy in individuals with enlarged superficial lymph nodes due to T-LGL leukemia to see if the treatment is reaching the leukemia in the lymph nodes.  There may or may not be a direct benefit from participating in this study. However, the results may help in the treatment of future patients.",BIOLOGICAL,2730,451,7,2,0.015521064301552107,0.004434589800443459
NCT04405180,"This 2-site randomized double blinded controlled trial is to confirm and more definitively clarify the impact of a 12-week course of nitrite versus placebo on mitochondrial bioenergetics in older sedentary adults. This investigator will take an integrative physiology approach to determine the effect of nitrite therapy on a comprehensive assessment of mitochondrial energetics, skeletal muscle vascular function, and whole body physical function (cardiorespiratory function, exercise endurance, strength, balance, and physical activity) and fatigability.",DRUG,555,73,0,0,0.0,0.0
NCT04916080,"Anemia is a common comorbidity of CKD and is associated with a decreased quality of life and increased healthcare resource utilization. Anemia increases the risk of CKD progression, cardiovascular complications, and overall mortality. The current standard of care includes oral or intravenous iron supplementation, erythropoiesis-stimulating agents, and red blood cell transfusion. Treatment with high doses of erythropoiesis-stimulating agents increases rates of hospitalization, cardiovascular events, and mortality. Resistance to erythropoiesis-stimulating agents is a therapeutic challenge in many patients .  NAC reduces the risk of progression of CKD of any etiology to end stage renal disease (ESRD) but the mechanism by which it reduces the progression of CKD to ESRD is unclear. It may be because of its antioxidant and vasodilatory nature. Prolonged duration of administration and higher dosage of NAC can protect kidneys.",DRUG,932,134,2,0,0.014925373134328358,0.0
NCT00498979,"RATIONALE: Sodium stibogluconate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Interferon alfa-2b may interfere with the growth of tumor cells and slow the growth of melanoma and other cancers. Drugs used in chemotherapy, such as cisplatin, vinblastine, and dacarbazine, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving sodium stibogluconate and interferon alfa-2b together with combination chemotherapy may kill more tumor cells.  PURPOSE: This phase I trial is studying the side effects and best dose of sodium stibogluconate when given together with interferon alfa-2b, cisplatin, vinblastine, and dacarbazine in treating patients with advanced melanoma or other cancer.",DRUG,797,124,3,0,0.024193548387096774,0.0
NCT00046462,The purposes of the study is to determine whether blood sugar control is different between Lantus and a third oral anti-diabetic agent when added to patients who fail a thiazolidinedione and sulfonylurea or metformin combination.,DRUG,229,36,1,0,0.027777777777777776,0.0
NCT01637662,To investigate headache score and accompanying symptoms during and after infusion of the natriuretic peptides.,DRUG,110,15,0,0,0.0,0.0
NCT00394862,"Investigate the efficacy of weekly versus daily of folic acid supplementation on improving folate, vitamin B12,",DRUG,111,16,0,0,0.0,0.0
NCT00848562,"Survival after invasive coronary revascularization is worse in patients with chronic kidney disease than in those without it. The investigators aimed to examine whether oral administration of nicorandil, a hybrid of nitrate and adenosine triphosphate-sensitive potassium channel opener, could improve the survival of end-stage renal disease patients with coronary artery disease by inhibiting cardiac death after coronary revascularization.",DRUG,440,60,2,1,0.03333333333333333,0.016666666666666666
NCT05327088,The aim of this study is to compare epidural dexmedetomidine vs nalbuphine added to bupivacaine in labor analgesia and determine the privilege of one over the other and to compare the effect of both analgesics after delivery.,DRUG,225,37,0,0,0.0,0.0
NCT00281762,We wanted to test the hypothesis that prostaglandin inhibition reduces the down regulation of u-AQP-2 induced by fasting,DRUG,120,19,0,0,0.0,0.0
NCT00549562,"This 8-week, prospective open-label study will investigate the effectiveness and tolerability of paliperidone ER in adolescents and young adults with autism. Hypothesis:Paliperidone Er will be well tolerated and efficacious for reducing aggression, self-injury, and irritability in adolescents and young adults.",DRUG,311,43,0,0,0.0,0.0
NCT00656188,This study tested the hypothesis that vardenafil was both clinically effective and well-tolerated compared to placebo in men diagnosed as being unresponsive to sildenafil.,DRUG,171,25,0,0,0.0,0.0
NCT03324503,"This is a multicenter, single-arm, unblinded/open-label study of the effect size of HRCT endpoints in response to glucocorticoid induction therapy in subjects with a diagnosis of pulmonary sarcoidosis who have not received glucocorticoid as initial sarcoidosis therapy (≥ 20 mg/day prednisone or prednisolone) or other sarcoidosis therapy for at least 3 months prior to enrollment. This study will enroll a total of approximately 24 subjects.",DRUG,442,65,1,1,0.015384615384615385,0.015384615384615385
NCT04107103,The purpose of this study is to find out what effects the combination of Nivolumab and Pemetrexed has on you and your cancer. The safety of this combination and the effectiveness of this treatment will be studied.,DRUG,213,37,0,0,0.0,0.0
NCT01774903,"The purpose of this study is to evaluate the efficacy and safety of Transdermal Therapeutic System (TTS)-fentanyl patch (transdermal patch containing a drug that is put on the skin so the drug will enter the body through the skin) in severe (very serious, life threatening) chronic (lasting a long time) low back pain in Thai participants.",DRUG,339,57,1,0,0.017543859649122806,0.0
NCT05086627,"This study is a single-center, prospective, open-label, randomized controlled clinical study, and the purpose of this study was to compare the pathological complete response rate (PCR) of patients with locally advanced rectal cancer treated with short-course radiotherapy sequential Tislelizumab combined with CapeOX (group A) versus short-course radiotherapy sequential CapeOX (group B). A total of 100 patients with locally advanced rectal cancer will be enrolled in the study. These patients were randomly assigned to the experimental group (group A) and the control group (group B) in a ratio of 1:1.",DRUG,604,91,0,0,0.0,0.0
NCT01968486,To demonstrate the efficacy of ranibizumab in combination with reduced-fluence verteporfin photodynamic therapy (RF-PDT) in patients with subfoveal choroidal neovascularization secondary to pathologic myopia (PM).,DRUG,213,27,0,0,0.0,0.0
NCT01471470,"The purpose of this study is to determine whether docetaxel, capecitabine, cisplatin, and bevacizumab are effective in the treatment of unresectable advanced gastric cancer.",DRUG,173,24,1,0,0.041666666666666664,0.0
NCT06092073,The aim of this study is to evaluate the efficacy and safety bilateral recto-intercostal fascial plane block (RIFPB) in epigastric hernia.,DRUG,138,22,1,0,0.045454545454545456,0.0
NCT00433069,The aim of this study is to investigate the efficacy and safety of an insulin-sensitizer (Actos) added to a standard Pegasys/Copegus combination therapy of chronic hepatitis C in patients who have previously failed a pegylated-interferon-alpha / ribavirin combination without the insulin sensitizer. The primary endpoint is the initial virological response (level of HCV RNA in serum) as evaluated after 12 weeks of triple therapy.,DRUG,431,66,0,2,0.0,0.030303030303030304
NCT01608269,"The purpose of this study is to assess the safety, tolerability, and antivira activity of Epzicom in virologically controlled HIV subjects.",DRUG,139,21,1,0,0.047619047619047616,0.0
NCT03520569,The investigators are studying the effects of Hyperglycemia on vascular function and insulin sensitivity on healthy adults,DRUG,122,17,0,0,0.0,0.0
NCT00511069,"Ph+ leukemias (i.e.Chronic Myelogenous Leukemia (CML) and (Ph+) Acute Lymphoblastic Leukemia are malignant clonal disorder of the hemopoietic stem cell due to reciprocal translocation of genetic material between chromosome 9 and 22 giving rise to the translocation t(9;22) (q2.2; q2.1). The translocation causes the formation of a new hybrid gene (bcr-abl) that codes for a 185 kb or 210 kb cytoplasmic protein (P185 and P210 respectively) that by autophosphorylation activates a number of signaling pathways involved in cell proliferation, maturation, apoptosis and adhesion, leading to the malignant cell transformation1-3. The course of the disease goes on through a chronic phase (CP), usually lasting some years, that is characterized by a massive myeloid hyperplasia with hyperleukocytosis and splenomegaly. The CP is almost always followed by an accelerated or blastic phase (ABP) where the leukemic process acquires the characteristics of acute leukemia. The ABP usually lasts some months and terminates with the death of the patient3.  The frequency of CML in western countries ranges between 10 and 15 per million persons (age - standardized). It is rare in children. The median age is 55 years.  Current treatment of CML includes conventional chemotherapy, allogeneic bone marrow transplantation (allo BMT), alpha-interferon (alpha-IFN)and imatinib.",DRUG,1360,197,0,0,0.0,0.0
NCT06714669,"This study is a randomized controlled trial designed to investigate the effects of two anesthetics, remimazolam and propofol, on intraoperative hemodynamics in patients undergoing laparoscopic liver resection. The experimental group receives remimazolam, while the control group receives propofol. The primary objective is to compare the hemodynamic responses of patients in both groups during the surgical procedure, aiming to provide insights into the potential differences in cardiovascular stability and anesthetic management associated with these two drugs",DRUG,561,75,1,0,0.013333333333333334,0.0
NCT03996369,The purpose of this study is to assess the efficacy of etrasimod on clinical remission in participants with moderately to severely active ulcerative colitis (UC).,DRUG,162,25,1,0,0.04,0.0
NCT01259869,The purpose of this study is to find out whether the new drug PX-866 will slow the growth of your glioblastoma multiforme.,DRUG,122,22,1,0,0.045454545454545456,0.0
NCT02169583,"This will be the first time GSK1325756 Solution for Infusion formulation that has been administered to humans. Prior studies have been performed with oral GSK1325756. The primary objectives of this study are to obtain information on the safety, tolerability, and pharmacokinetics (PK) of single and twice daily intravenous (IV) administration of GSK1325756 in healthy subjects. In Part A, single, escalating doses will be given in the same cohort of subjects after a seven day washout. In addition, the study will evaluate the absolute bioavailability of a single dose of the current oral tablet formulation as compared to the IV formulation in Part A. In Part B, twice daily (BID) intravenous dose administration will be given for 5 days (9 total doses) in two separate cohorts of subjects. Data from this study will provide understanding of the safety, tolerability, and PK of intravenously administered GSK1325756 twice daily to guide dose selection in future clinical studies in patients with viral respiratory tract infections",DRUG,1031,159,1,0,0.006289308176100629,0.0
NCT01446783,"The investigators want to inject insulin-like growth factor-I (IGF-I) into the patella tendon of Ehlers-Danlos patients and healthy controls to evaluate the response in collagen synthesis. Furthermore collagen synthesis is measured in muscle connective tissue and in skin.  The hypothesis is that the connective tissue in Ehlers-Danlos patients is more compliant and poorer in collagen than healthy controls, but that collagen synthesis can be stimulated by IGF-I.",DRUG,464,73,1,0,0.0136986301369863,0.0
NCT04489641,"The present work aims to develop a randomized clinical trial with a sample of 100 patients diagnosed with anxiety and depression in primary care. All participants are tested by several self-reports related to emotional disorders in a repeated measures design, pre and post treatment. It is our aim this study will demonstrate that brief psychological treatments should be prioritized over pharmacological treatment in Primary Care. In addition, emotional regulation will be assessed and examined as a key factor in the clinical improvement.",DRUG,540,82,0,0,0.0,0.0
NCT01935635,The purpose of this study is to investigate whether HB-Vac Activated-DCs Combined With Peg-IFN or NAs has more efficacy than Peg-IFN or NAs alone in the treatment of chronic hepatitis B patients,BIOLOGICAL,194,36,1,0,0.027777777777777776,0.0
NCT03038776,"Recombinant H7 (rH7) vaccine has been shown to be poorly immunogenic in previous human clinical trials. This study will test approaches to improve the immunogenicity of H7 vaccine, namely use of a three dose regimen, use of a modified H7 HA sequence from which the Tregitope has been removed (rH7m), and inclusion of delta inulin adjuvant adjuvant in the vaccine",BIOLOGICAL,362,61,0,0,0.0,0.0
